Treatment,Time_point,Family,variable,n,mean,sd
Lop_high,T24,Muribaculaceae,Abundance,3,0.929,0.398
Lop_low,T24,Muribaculaceae,Abundance,3,1.359,0.719
Saline,T24,Muribaculaceae,Abundance,3,1.706,0.284
DMSO,T48,Muribaculaceae,Abundance,3,0.841,0.222
Imolope_high,T48,Muribaculaceae,Abundance,3,1.202,0.344
Imolope_low,T48,Muribaculaceae,Abundance,3,1.409,0.063
Lop_high,T48,Muribaculaceae,Abundance,3,1.028,0.468
Lop_low,T48,Muribaculaceae,Abundance,3,1.122,0.366
Saline,T48,Muribaculaceae,Abundance,3,1.433,0.108
DMSO,T72,Muribaculaceae,Abundance,3,0.523,0.099
Imolope_high,T72,Muribaculaceae,Abundance,3,0.983,0.301
Imolope_low,T72,Muribaculaceae,Abundance,3,0.734,0.102
Lop_high,T72,Muribaculaceae,Abundance,3,0.644,0.204
Lop_low,T72,Muribaculaceae,Abundance,3,0.783,0.218
Saline,T72,Muribaculaceae,Abundance,3,0.644,0.223
DMSO,T0,Order_Chromatiales,Abundance,3,0.007,0.009
Imolope_high,T0,Order_Chromatiales,Abundance,3,0.009,0.012
Imolope_low,T0,Order_Chromatiales,Abundance,3,0.001,0.002
Lop_high,T0,Order_Chromatiales,Abundance,3,0,0
Lop_low,T0,Order_Chromatiales,Abundance,3,0.003,0.005
Saline,T0,Order_Chromatiales,Abundance,3,0.003,0.003
DMSO,T24,Order_Chromatiales,Abundance,3,0,0.001
Imolope_high,T24,Order_Chromatiales,Abundance,3,0,0
Imolope_low,T24,Order_Chromatiales,Abundance,3,0.001,0.001
Lop_high,T24,Order_Chromatiales,Abundance,3,0,0
Lop_low,T24,Order_Chromatiales,Abundance,3,0,0
Saline,T24,Order_Chromatiales,Abundance,3,0,0
DMSO,T48,Order_Chromatiales,Abundance,3,0,0
Imolope_high,T48,Order_Chromatiales,Abundance,3,0,0
Imolope_low,T48,Order_Chromatiales,Abundance,3,0,0
Lop_high,T48,Order_Chromatiales,Abundance,3,0,0
Lop_low,T48,Order_Chromatiales,Abundance,3,0,0
Saline,T48,Order_Chromatiales,Abundance,3,0,0
DMSO,T72,Order_Chromatiales,Abundance,3,0,0
Imolope_high,T72,Order_Chromatiales,Abundance,3,0,0
Imolope_low,T72,Order_Chromatiales,Abundance,3,0,0
Lop_high,T72,Order_Chromatiales,Abundance,3,0,0
Lop_low,T72,Order_Chromatiales,Abundance,3,0,0
Saline,T72,Order_Chromatiales,Abundance,3,0,0
DMSO,T0,Order_Clostridiales,Abundance,3,0.611,0.186
Imolope_high,T0,Order_Clostridiales,Abundance,3,0.575,0.057
Imolope_low,T0,Order_Clostridiales,Abundance,3,0.494,0.212
Lop_high,T0,Order_Clostridiales,Abundance,3,0.696,0.2
Lop_low,T0,Order_Clostridiales,Abundance,3,0.626,0.057
Saline,T0,Order_Clostridiales,Abundance,3,0.526,0.037
DMSO,T24,Order_Clostridiales,Abundance,3,0,0.001
Imolope_high,T24,Order_Clostridiales,Abundance,3,0,0
Imolope_low,T24,Order_Clostridiales,Abundance,3,0.001,0.001
Lop_high,T24,Order_Clostridiales,Abundance,3,0.001,0.002
Lop_low,T24,Order_Clostridiales,Abundance,3,0,0.001
Saline,T24,Order_Clostridiales,Abundance,3,0.001,0.001
DMSO,T48,Order_Clostridiales,Abundance,3,0,0
Imolope_high,T48,Order_Clostridiales,Abundance,3,0,0.001
Imolope_low,T48,Order_Clostridiales,Abundance,3,0.002,0.002
Lop_high,T48,Order_Clostridiales,Abundance,3,0,0
Lop_low,T48,Order_Clostridiales,Abundance,3,0.002,0.003
Saline,T48,Order_Clostridiales,Abundance,3,0.001,0.001
DMSO,T72,Order_Clostridiales,Abundance,3,0.001,0
Imolope_high,T72,Order_Clostridiales,Abundance,3,0.001,0.001
Imolope_low,T72,Order_Clostridiales,Abundance,3,0,0.001
Lop_high,T72,Order_Clostridiales,Abundance,3,0.001,0.001
Lop_low,T72,Order_Clostridiales,Abundance,3,0.001,0.002
Saline,T72,Order_Clostridiales,Abundance,3,0.002,0.001
DMSO,T0,Order_Rhodospirillales,Abundance,3,0.026,0.024
Imolope_high,T0,Order_Rhodospirillales,Abundance,3,0.01,0.011
Imolope_low,T0,Order_Rhodospirillales,Abundance,3,0.007,0.009
Lop_high,T0,Order_Rhodospirillales,Abundance,3,0.002,0.003
Lop_low,T0,Order_Rhodospirillales,Abundance,3,0,0
Saline,T0,Order_Rhodospirillales,Abundance,3,0.002,0.004
DMSO,T24,Order_Rhodospirillales,Abundance,3,0,0
Imolope_high,T24,Order_Rhodospirillales,Abundance,3,0,0
Imolope_low,T24,Order_Rhodospirillales,Abundance,3,0,0
Lop_high,T24,Order_Rhodospirillales,Abundance,3,0,0
Lop_low,T24,Order_Rhodospirillales,Abundance,3,0,0
Saline,T24,Order_Rhodospirillales,Abundance,3,0,0
DMSO,T48,Order_Rhodospirillales,Abundance,3,0,0
Imolope_high,T48,Order_Rhodospirillales,Abundance,3,0,0
Imolope_low,T48,Order_Rhodospirillales,Abundance,3,0,0
Lop_high,T48,Order_Rhodospirillales,Abundance,3,0,0
Lop_low,T48,Order_Rhodospirillales,Abundance,3,0,0
Saline,T48,Order_Rhodospirillales,Abundance,3,0,0
DMSO,T72,Order_Rhodospirillales,Abundance,3,0,0.001
Imolope_high,T72,Order_Rhodospirillales,Abundance,3,0,0
Imolope_low,T72,Order_Rhodospirillales,Abundance,3,0,0
Lop_high,T72,Order_Rhodospirillales,Abundance,3,0,0.001
Lop_low,T72,Order_Rhodospirillales,Abundance,3,0,0
Saline,T72,Order_Rhodospirillales,Abundance,3,0,0
DMSO,T0,Paenibacillaceae_1,Abundance,3,0,0
Imolope_high,T0,Paenibacillaceae_1,Abundance,3,0,0
Imolope_low,T0,Paenibacillaceae_1,Abundance,3,0,0
Lop_high,T0,Paenibacillaceae_1,Abundance,3,0,0
Lop_low,T0,Paenibacillaceae_1,Abundance,3,0,0
Saline,T0,Paenibacillaceae_1,Abundance,3,0,0
DMSO,T24,Paenibacillaceae_1,Abundance,3,0,0
Imolope_high,T24,Paenibacillaceae_1,Abundance,3,0,0
Imolope_low,T24,Paenibacillaceae_1,Abundance,3,0,0
Lop_high,T24,Paenibacillaceae_1,Abundance,3,0,0
Lop_low,T24,Paenibacillaceae_1,Abundance,3,0,0
Saline,T24,Paenibacillaceae_1,Abundance,3,0,0
DMSO,T48,Paenibacillaceae_1,Abundance,3,0,0
Imolope_high,T48,Paenibacillaceae_1,Abundance,3,0,0
Imolope_low,T48,Paenibacillaceae_1,Abundance,3,0,0
Lop_high,T48,Paenibacillaceae_1,Abundance,3,0,0
Lop_low,T48,Paenibacillaceae_1,Abundance,3,0,0
Saline,T48,Paenibacillaceae_1,Abundance,3,0,0
DMSO,T72,Paenibacillaceae_1,Abundance,3,0.009,0.014
Imolope_high,T72,Paenibacillaceae_1,Abundance,3,0.004,0.004
Imolope_low,T72,Paenibacillaceae_1,Abundance,3,0.003,0.005
Lop_high,T72,Paenibacillaceae_1,Abundance,3,0.01,0.009
Lop_low,T72,Paenibacillaceae_1,Abundance,3,0.001,0.003
Saline,T72,Paenibacillaceae_1,Abundance,3,0.009,0.007
DMSO,T0,Peptococcaceae_1,Abundance,3,0.088,0.012
Imolope_high,T0,Peptococcaceae_1,Abundance,3,0.064,0.004
Imolope_low,T0,Peptococcaceae_1,Abundance,3,0.063,0.037
Lop_high,T0,Peptococcaceae_1,Abundance,3,0.067,0.037
Lop_low,T0,Peptococcaceae_1,Abundance,3,0.06,0.045
Saline,T0,Peptococcaceae_1,Abundance,3,0.058,0.038
DMSO,T24,Peptococcaceae_1,Abundance,3,0,0
Imolope_high,T24,Peptococcaceae_1,Abundance,3,0,0
Imolope_low,T24,Peptococcaceae_1,Abundance,3,0,0
Lop_high,T24,Peptococcaceae_1,Abundance,3,0,0
Lop_low,T24,Peptococcaceae_1,Abundance,3,0,0
Saline,T24,Peptococcaceae_1,Abundance,3,0,0
DMSO,T48,Peptococcaceae_1,Abundance,3,0,0
Imolope_high,T48,Peptococcaceae_1,Abundance,3,0,0
Imolope_low,T48,Peptococcaceae_1,Abundance,3,0,0
Lop_high,T48,Peptococcaceae_1,Abundance,3,0,0
Lop_low,T48,Peptococcaceae_1,Abundance,3,0,0
Saline,T48,Peptococcaceae_1,Abundance,3,0,0
DMSO,T72,Peptococcaceae_1,Abundance,3,0,0
Imolope_high,T72,Peptococcaceae_1,Abundance,3,0,0
Imolope_low,T72,Peptococcaceae_1,Abundance,3,0,0
Lop_high,T72,Peptococcaceae_1,Abundance,3,0,0.001
Lop_low,T72,Peptococcaceae_1,Abundance,3,0,0
Saline,T72,Peptococcaceae_1,Abundance,3,0,0
DMSO,T0,Peptostreptococcaceae,Abundance,3,0.001,0.002
Imolope_high,T0,Peptostreptococcaceae,Abundance,3,0,0
Imolope_low,T0,Peptostreptococcaceae,Abundance,3,0.006,0.006
Lop_high,T0,Peptostreptococcaceae,Abundance,3,0.003,0.003
Lop_low,T0,Peptostreptococcaceae,Abundance,3,0,0
Saline,T0,Peptostreptococcaceae,Abundance,3,0.002,0.004
DMSO,T24,Peptostreptococcaceae,Abundance,3,0.001,0.001
Imolope_high,T24,Peptostreptococcaceae,Abundance,3,0.001,0.001
Imolope_low,T24,Peptostreptococcaceae,Abundance,3,0,0
Lop_high,T24,Peptostreptococcaceae,Abundance,3,0.001,0.001
Lop_low,T24,Peptostreptococcaceae,Abundance,3,0.001,0.001
Saline,T24,Peptostreptococcaceae,Abundance,3,0,0
DMSO,T48,Peptostreptococcaceae,Abundance,3,0.001,0.002
Imolope_high,T48,Peptostreptococcaceae,Abundance,3,0,0.001
Imolope_low,T48,Peptostreptococcaceae,Abundance,3,0,0
Lop_high,T48,Peptostreptococcaceae,Abundance,3,0,0.001
Lop_low,T48,Peptostreptococcaceae,Abundance,3,0,0
Saline,T48,Peptostreptococcaceae,Abundance,3,0.001,0.001
DMSO,T72,Peptostreptococcaceae,Abundance,3,0,0.001
Imolope_high,T72,Peptostreptococcaceae,Abundance,3,0,0
Imolope_low,T72,Peptostreptococcaceae,Abundance,3,0,0
Lop_high,T72,Peptostreptococcaceae,Abundance,3,0.001,0.001
Lop_low,T72,Peptostreptococcaceae,Abundance,3,0.002,0.003
Saline,T72,Peptostreptococcaceae,Abundance,3,0,0
DMSO,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0.013,0.023
Imolope_high,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0.001,0.003
Saline,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_high,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Saline,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_high,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Saline,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_high,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Saline,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T0,Phylum_Firmicutes,Abundance,3,0.388,0.174
Imolope_high,T0,Phylum_Firmicutes,Abundance,3,0.301,0.025
Imolope_low,T0,Phylum_Firmicutes,Abundance,3,0.339,0.055
Lop_high,T0,Phylum_Firmicutes,Abundance,3,0.309,0.12
Lop_low,T0,Phylum_Firmicutes,Abundance,3,0.327,0.079
Saline,T0,Phylum_Firmicutes,Abundance,3,0.306,0.022
DMSO,T24,Phylum_Firmicutes,Abundance,3,0,0
Imolope_high,T24,Phylum_Firmicutes,Abundance,3,0,0
Imolope_low,T24,Phylum_Firmicutes,Abundance,3,0,0
Lop_high,T24,Phylum_Firmicutes,Abundance,3,0.001,0.001
Lop_low,T24,Phylum_Firmicutes,Abundance,3,0,0
Saline,T24,Phylum_Firmicutes,Abundance,3,0,0
DMSO,T48,Phylum_Firmicutes,Abundance,3,0,0
Imolope_high,T48,Phylum_Firmicutes,Abundance,3,0,0.001
Imolope_low,T48,Phylum_Firmicutes,Abundance,3,0,0
Lop_high,T48,Phylum_Firmicutes,Abundance,3,0,0.001
Lop_low,T48,Phylum_Firmicutes,Abundance,3,0,0.001
Saline,T48,Phylum_Firmicutes,Abundance,3,0.001,0.001
DMSO,T72,Phylum_Firmicutes,Abundance,3,0,0.001
Imolope_high,T72,Phylum_Firmicutes,Abundance,3,0,0
Imolope_low,T72,Phylum_Firmicutes,Abundance,3,0,0
Lop_high,T72,Phylum_Firmicutes,Abundance,3,0,0
Lop_low,T72,Phylum_Firmicutes,Abundance,3,0,0.001
Saline,T72,Phylum_Firmicutes,Abundance,3,0,0
DMSO,T0,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T0,Phylum_Proteobacteria,Abundance,3,0.004,0.007
Imolope_low,T0,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T0,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T0,Phylum_Proteobacteria,Abundance,3,0.007,0.012
Saline,T0,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T24,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T24,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_low,T24,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T24,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T24,Phylum_Proteobacteria,Abundance,3,0,0
Saline,T24,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T48,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T48,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_low,T48,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T48,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T48,Phylum_Proteobacteria,Abundance,3,0,0
Saline,T48,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T72,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T72,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_low,T72,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T72,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T72,Phylum_Proteobacteria,Abundance,3,0,0
Saline,T72,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T0,Porphyromonadaceae,Abundance,3,0.227,0.192
Imolope_high,T0,Porphyromonadaceae,Abundance,3,0.062,0.053
Imolope_low,T0,Porphyromonadaceae,Abundance,3,0.04,0.031
Lop_high,T0,Porphyromonadaceae,Abundance,3,0.13,0.098
Lop_low,T0,Porphyromonadaceae,Abundance,3,0.057,0.061
Saline,T0,Porphyromonadaceae,Abundance,3,0.054,0.011
DMSO,T24,Porphyromonadaceae,Abundance,3,1.67,0.817
Imolope_high,T24,Porphyromonadaceae,Abundance,3,1.03,0.406
Imolope_low,T24,Porphyromonadaceae,Abundance,3,2.706,0.466
Lop_high,T24,Porphyromonadaceae,Abundance,3,1.327,0.535
Lop_low,T24,Porphyromonadaceae,Abundance,3,2.382,0.761
Saline,T24,Porphyromonadaceae,Abundance,3,3.315,0.461
DMSO,T48,Porphyromonadaceae,Abundance,3,4.423,0.288
Imolope_high,T48,Porphyromonadaceae,Abundance,3,5.064,0.543
Imolope_low,T48,Porphyromonadaceae,Abundance,3,5.61,0.405
Lop_high,T48,Porphyromonadaceae,Abundance,3,4.521,0.794
Lop_low,T48,Porphyromonadaceae,Abundance,3,5.255,0.604
Saline,T48,Porphyromonadaceae,Abundance,3,6.823,1.771
DMSO,T72,Porphyromonadaceae,Abundance,3,7.828,0.316
Imolope_high,T72,Porphyromonadaceae,Abundance,3,7.898,0.324
Imolope_low,T72,Porphyromonadaceae,Abundance,3,7.381,1.146
Lop_high,T72,Porphyromonadaceae,Abundance,3,7.538,1.312
Lop_low,T72,Porphyromonadaceae,Abundance,3,8.127,2.551
Saline,T72,Porphyromonadaceae,Abundance,3,5.5,0.848
DMSO,T0,Pseudomonadaceae,Abundance,3,0,0
Imolope_high,T0,Pseudomonadaceae,Abundance,3,0,0
Imolope_low,T0,Pseudomonadaceae,Abundance,3,0.115,0.2
Lop_high,T0,Pseudomonadaceae,Abundance,3,0,0
Lop_low,T0,Pseudomonadaceae,Abundance,3,0,0
Saline,T0,Pseudomonadaceae,Abundance,3,0,0
DMSO,T24,Pseudomonadaceae,Abundance,3,0,0
Imolope_high,T24,Pseudomonadaceae,Abundance,3,0,0
Imolope_low,T24,Pseudomonadaceae,Abundance,3,0,0
Lop_high,T24,Pseudomonadaceae,Abundance,3,0.001,0.001
Lop_low,T24,Pseudomonadaceae,Abundance,3,0,0
Saline,T24,Pseudomonadaceae,Abundance,3,0,0.001
DMSO,T48,Pseudomonadaceae,Abundance,3,0,0
Imolope_high,T48,Pseudomonadaceae,Abundance,3,0.001,0.001
Imolope_low,T48,Pseudomonadaceae,Abundance,3,0,0
Lop_high,T48,Pseudomonadaceae,Abundance,3,0,0
Lop_low,T48,Pseudomonadaceae,Abundance,3,0,0
Saline,T48,Pseudomonadaceae,Abundance,3,0,0
DMSO,T72,Pseudomonadaceae,Abundance,3,0,0
Imolope_high,T72,Pseudomonadaceae,Abundance,3,0,0
Imolope_low,T72,Pseudomonadaceae,Abundance,3,0,0
Lop_high,T72,Pseudomonadaceae,Abundance,3,0,0.001
Lop_low,T72,Pseudomonadaceae,Abundance,3,0,0
Saline,T72,Pseudomonadaceae,Abundance,3,0,0
DMSO,T0,Rhodobacteraceae,Abundance,3,0.004,0.003
Imolope_high,T0,Rhodobacteraceae,Abundance,3,0.001,0.002
Imolope_low,T0,Rhodobacteraceae,Abundance,3,0.003,0.005
Lop_high,T0,Rhodobacteraceae,Abundance,3,0,0
Lop_low,T0,Rhodobacteraceae,Abundance,3,0,0
Saline,T0,Rhodobacteraceae,Abundance,3,0,0
DMSO,T24,Rhodobacteraceae,Abundance,3,0,0
Imolope_high,T24,Rhodobacteraceae,Abundance,3,0,0
Imolope_low,T24,Rhodobacteraceae,Abundance,3,0,0
Lop_high,T24,Rhodobacteraceae,Abundance,3,0,0
Lop_low,T24,Rhodobacteraceae,Abundance,3,0,0
Saline,T24,Rhodobacteraceae,Abundance,3,0,0
DMSO,T48,Rhodobacteraceae,Abundance,3,0,0
Imolope_high,T48,Rhodobacteraceae,Abundance,3,0,0
Imolope_low,T48,Rhodobacteraceae,Abundance,3,0,0
Lop_high,T48,Rhodobacteraceae,Abundance,3,0,0
Lop_low,T48,Rhodobacteraceae,Abundance,3,0,0
Saline,T48,Rhodobacteraceae,Abundance,3,0,0.001
DMSO,T72,Rhodobacteraceae,Abundance,3,0,0.001
Imolope_high,T72,Rhodobacteraceae,Abundance,3,0,0
Imolope_low,T72,Rhodobacteraceae,Abundance,3,0,0
Lop_high,T72,Rhodobacteraceae,Abundance,3,0,0
Lop_low,T72,Rhodobacteraceae,Abundance,3,0,0
Saline,T72,Rhodobacteraceae,Abundance,3,0,0
DMSO,T0,Rikenellaceae,Abundance,3,0.033,0.014
Imolope_high,T0,Rikenellaceae,Abundance,3,0.022,0.009
Imolope_low,T0,Rikenellaceae,Abundance,3,0.049,0.01
Lop_high,T0,Rikenellaceae,Abundance,3,0.035,0.029
Lop_low,T0,Rikenellaceae,Abundance,3,0.036,0.005
Saline,T0,Rikenellaceae,Abundance,3,0.037,0.019
DMSO,T24,Rikenellaceae,Abundance,3,0.01,0.002
Imolope_high,T24,Rikenellaceae,Abundance,3,0.015,0.003
Imolope_low,T24,Rikenellaceae,Abundance,3,0.013,0.004
Lop_high,T24,Rikenellaceae,Abundance,3,0.016,0.008
Lop_low,T24,Rikenellaceae,Abundance,3,0.013,0.004
Saline,T24,Rikenellaceae,Abundance,3,0.02,0.007
DMSO,T48,Rikenellaceae,Abundance,3,0.027,0.006
Imolope_high,T48,Rikenellaceae,Abundance,3,0.028,0.006
Imolope_low,T48,Rikenellaceae,Abundance,3,0.031,0.004
Lop_high,T48,Rikenellaceae,Abundance,3,0.063,0.022
Lop_low,T48,Rikenellaceae,Abundance,3,0.039,0.023
Saline,T48,Rikenellaceae,Abundance,3,0.071,0.023
DMSO,T72,Rikenellaceae,Abundance,3,0.119,0.016
Imolope_high,T72,Rikenellaceae,Abundance,3,0.117,0.017
Imolope_low,T72,Rikenellaceae,Abundance,3,0.19,0.037
Lop_high,T72,Rikenellaceae,Abundance,3,0.34,0.105
Lop_low,T72,Rikenellaceae,Abundance,3,0.152,0.13
Saline,T72,Rikenellaceae,Abundance,3,0.389,0.066
DMSO,T0,Ruminococcaceae,Abundance,3,7.012,1.247
Imolope_high,T0,Ruminococcaceae,Abundance,3,8.683,0.799
Imolope_low,T0,Ruminococcaceae,Abundance,3,6.967,1.844
Lop_high,T0,Ruminococcaceae,Abundance,3,7.975,2.702
Lop_low,T0,Ruminococcaceae,Abundance,3,8.728,0.489
Saline,T0,Ruminococcaceae,Abundance,3,7.563,0.906
DMSO,T24,Ruminococcaceae,Abundance,3,0.006,0.001
Imolope_high,T24,Ruminococcaceae,Abundance,3,0.014,0.008
Imolope_low,T24,Ruminococcaceae,Abundance,3,0.012,0.006
Lop_high,T24,Ruminococcaceae,Abundance,3,0.009,0.008
Lop_low,T24,Ruminococcaceae,Abundance,3,0.019,0.014
Saline,T24,Ruminococcaceae,Abundance,3,0.006,0.002
DMSO,T48,Ruminococcaceae,Abundance,3,0.091,0.015
Imolope_high,T48,Ruminococcaceae,Abundance,3,0.061,0.013
Imolope_low,T48,Ruminococcaceae,Abundance,3,0.154,0.034
Lop_high,T48,Ruminococcaceae,Abundance,3,0.284,0.101
Lop_low,T48,Ruminococcaceae,Abundance,3,0.244,0.035
Saline,T48,Ruminococcaceae,Abundance,3,0.457,0.053
DMSO,T72,Ruminococcaceae,Abundance,3,5.047,0.394
Imolope_high,T72,Ruminococcaceae,Abundance,3,3.217,0.221
Imolope_low,T72,Ruminococcaceae,Abundance,3,4.84,0.632
Lop_high,T72,Ruminococcaceae,Abundance,3,6.947,0.642
Lop_low,T72,Ruminococcaceae,Abundance,3,6.861,0.276
Saline,T72,Ruminococcaceae,Abundance,3,6.449,0.764
DMSO,T0,Sphingomonadaceae,Abundance,3,0.007,0.012
Imolope_high,T0,Sphingomonadaceae,Abundance,3,0.004,0.004
Imolope_low,T0,Sphingomonadaceae,Abundance,3,0.012,0.022
Lop_high,T0,Sphingomonadaceae,Abundance,3,0.007,0.008
Lop_low,T0,Sphingomonadaceae,Abundance,3,0.004,0.004
Saline,T0,Sphingomonadaceae,Abundance,3,0.067,0.117
DMSO,T24,Sphingomonadaceae,Abundance,3,0,0
Imolope_high,T24,Sphingomonadaceae,Abundance,3,0,0
Imolope_low,T24,Sphingomonadaceae,Abundance,3,0,0
Lop_high,T24,Sphingomonadaceae,Abundance,3,0,0.001
Lop_low,T24,Sphingomonadaceae,Abundance,3,0,0
Saline,T24,Sphingomonadaceae,Abundance,3,0,0
DMSO,T48,Sphingomonadaceae,Abundance,3,0,0
Imolope_high,T48,Sphingomonadaceae,Abundance,3,0,0
Imolope_low,T48,Sphingomonadaceae,Abundance,3,0,0
Lop_high,T48,Sphingomonadaceae,Abundance,3,0,0
Lop_low,T48,Sphingomonadaceae,Abundance,3,0,0
Saline,T48,Sphingomonadaceae,Abundance,3,0,0
DMSO,T72,Sphingomonadaceae,Abundance,3,0,0
Imolope_high,T72,Sphingomonadaceae,Abundance,3,0,0
Imolope_low,T72,Sphingomonadaceae,Abundance,3,0,0
Lop_high,T72,Sphingomonadaceae,Abundance,3,0,0
Lop_low,T72,Sphingomonadaceae,Abundance,3,0,0
Saline,T72,Sphingomonadaceae,Abundance,3,0,0
DMSO,T0,Staphylococcaceae,Abundance,3,0.007,0.012
Imolope_high,T0,Staphylococcaceae,Abundance,3,0.004,0.006
Imolope_low,T0,Staphylococcaceae,Abundance,3,0.01,0.009
Lop_high,T0,Staphylococcaceae,Abundance,3,0.023,0.04
Lop_low,T0,Staphylococcaceae,Abundance,3,0.013,0.019
Saline,T0,Staphylococcaceae,Abundance,3,0.005,0.005
DMSO,T24,Staphylococcaceae,Abundance,3,0,0
Imolope_high,T24,Staphylococcaceae,Abundance,3,0,0
Imolope_low,T24,Staphylococcaceae,Abundance,3,0.002,0.003
Lop_high,T24,Staphylococcaceae,Abundance,3,0.001,0.001
Lop_low,T24,Staphylococcaceae,Abundance,3,0,0
Saline,T24,Staphylococcaceae,Abundance,3,0.001,0.001
DMSO,T48,Staphylococcaceae,Abundance,3,0,0
Imolope_high,T48,Staphylococcaceae,Abundance,3,0,0.001
Imolope_low,T48,Staphylococcaceae,Abundance,3,0,0
Lop_high,T48,Staphylococcaceae,Abundance,3,0,0
Lop_low,T48,Staphylococcaceae,Abundance,3,0,0
Saline,T48,Staphylococcaceae,Abundance,3,0,0
DMSO,T72,Staphylococcaceae,Abundance,3,0,0.001
Imolope_high,T72,Staphylococcaceae,Abundance,3,0,0.001
Imolope_low,T72,Staphylococcaceae,Abundance,3,0.001,0.001
Lop_high,T72,Staphylococcaceae,Abundance,3,0,0
Lop_low,T72,Staphylococcaceae,Abundance,3,0,0
Saline,T72,Staphylococcaceae,Abundance,3,0,0
DMSO,T0,Sterolibacteriaceae,Abundance,3,0,0
Imolope_high,T0,Sterolibacteriaceae,Abundance,3,0,0
Imolope_low,T0,Sterolibacteriaceae,Abundance,3,0,0
Lop_high,T0,Sterolibacteriaceae,Abundance,3,0,0
Lop_low,T0,Sterolibacteriaceae,Abundance,3,0.014,0.018
Saline,T0,Sterolibacteriaceae,Abundance,3,0,0
DMSO,T24,Sterolibacteriaceae,Abundance,3,0,0
Imolope_high,T24,Sterolibacteriaceae,Abundance,3,0,0
Imolope_low,T24,Sterolibacteriaceae,Abundance,3,0,0
Lop_high,T24,Sterolibacteriaceae,Abundance,3,0,0
Lop_low,T24,Sterolibacteriaceae,Abundance,3,0,0
Saline,T24,Sterolibacteriaceae,Abundance,3,0,0
DMSO,T48,Sterolibacteriaceae,Abundance,3,0,0
Imolope_high,T48,Sterolibacteriaceae,Abundance,3,0,0
Imolope_low,T48,Sterolibacteriaceae,Abundance,3,0,0
Lop_high,T48,Sterolibacteriaceae,Abundance,3,0,0
Lop_low,T48,Sterolibacteriaceae,Abundance,3,0,0
Saline,T48,Sterolibacteriaceae,Abundance,3,0,0
DMSO,T72,Sterolibacteriaceae,Abundance,3,0,0
Imolope_high,T72,Sterolibacteriaceae,Abundance,3,0,0
Imolope_low,T72,Sterolibacteriaceae,Abundance,3,0,0
Lop_high,T72,Sterolibacteriaceae,Abundance,3,0,0
Lop_low,T72,Sterolibacteriaceae,Abundance,3,0,0
