Treatment,Time_point,Family,variable,n,mean,sd
Lop_low,T24,Bifidobacteriaceae,Abundance,3,0,0
Saline,T24,Bifidobacteriaceae,Abundance,3,0,0.001
DMSO,T48,Bifidobacteriaceae,Abundance,3,0.001,0.001
Imolope_high,T48,Bifidobacteriaceae,Abundance,3,0.001,0.001
Imolope_low,T48,Bifidobacteriaceae,Abundance,3,0.001,0.001
Lop_high,T48,Bifidobacteriaceae,Abundance,3,0,0
Lop_low,T48,Bifidobacteriaceae,Abundance,3,0.002,0.001
Saline,T48,Bifidobacteriaceae,Abundance,3,0.002,0.002
DMSO,T72,Bifidobacteriaceae,Abundance,3,0,0
Imolope_high,T72,Bifidobacteriaceae,Abundance,3,0.001,0.001
Imolope_low,T72,Bifidobacteriaceae,Abundance,3,0,0
Lop_high,T72,Bifidobacteriaceae,Abundance,3,0,0.001
Lop_low,T72,Bifidobacteriaceae,Abundance,3,0.002,0.003
Saline,T72,Bifidobacteriaceae,Abundance,3,0,0.001
DMSO,T0,Bradyrhizobiaceae,Abundance,3,0.013,0.017
Imolope_high,T0,Bradyrhizobiaceae,Abundance,3,0.001,0.002
Imolope_low,T0,Bradyrhizobiaceae,Abundance,3,0.006,0.006
Lop_high,T0,Bradyrhizobiaceae,Abundance,3,0.002,0.003
Lop_low,T0,Bradyrhizobiaceae,Abundance,3,0.003,0.005
Saline,T0,Bradyrhizobiaceae,Abundance,3,0.004,0.006
DMSO,T24,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T24,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T24,Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T24,Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T24,Bradyrhizobiaceae,Abundance,3,0,0
Saline,T24,Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T48,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T48,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T48,Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T48,Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T48,Bradyrhizobiaceae,Abundance,3,0,0
Saline,T48,Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T72,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T72,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T72,Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T72,Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T72,Bradyrhizobiaceae,Abundance,3,0,0.001
Saline,T72,Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T0,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T0,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T0,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T0,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T0,Carnobacteriaceae,Abundance,3,0,0
