Treatment,Time_point,Genus,variable,n,mean,sd
DMSO,T24,Holdemania,Abundance,3,0,0
Imolope_high,T24,Holdemania,Abundance,3,0.01,0.017
Imolope_low,T24,Holdemania,Abundance,3,0,0.001
Lop_high,T24,Holdemania,Abundance,3,0.001,0.001
Lop_low,T24,Holdemania,Abundance,3,0,0
Saline,T24,Holdemania,Abundance,3,0.002,0.002
DMSO,T48,Holdemania,Abundance,3,0,0.001
Imolope_high,T48,Holdemania,Abundance,3,0,0
Imolope_low,T48,Holdemania,Abundance,3,0.001,0.001
Lop_high,T48,Holdemania,Abundance,3,0.007,0.002
Lop_low,T48,Holdemania,Abundance,3,0.006,0
Saline,T48,Holdemania,Abundance,3,0.013,0.006
DMSO,T72,Holdemania,Abundance,3,0.101,0.021
Imolope_high,T72,Holdemania,Abundance,3,0.06,0.017
Imolope_low,T72,Holdemania,Abundance,3,0.069,0.029
Lop_high,T72,Holdemania,Abundance,3,0.125,0.009
Lop_low,T72,Holdemania,Abundance,3,0.086,0.035
Saline,T72,Holdemania,Abundance,3,0.069,0.02
DMSO,T0,Intestinimonas,Abundance,3,2.33,0.797
Imolope_high,T0,Intestinimonas,Abundance,3,3.029,0.128
Imolope_low,T0,Intestinimonas,Abundance,3,2.352,0.566
Lop_high,T0,Intestinimonas,Abundance,3,2.684,1.239
Lop_low,T0,Intestinimonas,Abundance,3,2.882,0.27
Saline,T0,Intestinimonas,Abundance,3,2.481,0.366
DMSO,T24,Intestinimonas,Abundance,3,0.002,0.001
Imolope_high,T24,Intestinimonas,Abundance,3,0.006,0.007
Imolope_low,T24,Intestinimonas,Abundance,3,0.006,0.001
Lop_high,T24,Intestinimonas,Abundance,3,0.002,0.002
Lop_low,T24,Intestinimonas,Abundance,3,0.007,0.006
Saline,T24,Intestinimonas,Abundance,3,0.002,0.001
DMSO,T48,Intestinimonas,Abundance,3,0.075,0.014
Imolope_high,T48,Intestinimonas,Abundance,3,0.049,0.01
Imolope_low,T48,Intestinimonas,Abundance,3,0.122,0.031
Lop_high,T48,Intestinimonas,Abundance,3,0.227,0.088
Lop_low,T48,Intestinimonas,Abundance,3,0.201,0.031
Saline,T48,Intestinimonas,Abundance,3,0.374,0.043
DMSO,T72,Intestinimonas,Abundance,3,2.756,0.224
Imolope_high,T72,Intestinimonas,Abundance,3,2.435,0.083
Imolope_low,T72,Intestinimonas,Abundance,3,2.976,0.255
Lop_high,T72,Intestinimonas,Abundance,3,3.216,0.172
Lop_low,T72,Intestinimonas,Abundance,3,3.125,0.101
Saline,T72,Intestinimonas,Abundance,3,2.771,0.329
DMSO,T0,Labilithrix,Abundance,3,0.014,0.021
Imolope_high,T0,Labilithrix,Abundance,3,0,0
Imolope_low,T0,Labilithrix,Abundance,3,0,0
Lop_high,T0,Labilithrix,Abundance,3,0,0
Lop_low,T0,Labilithrix,Abundance,3,0.001,0.003
Saline,T0,Labilithrix,Abundance,3,0.001,0.002
DMSO,T24,Labilithrix,Abundance,3,0,0
Imolope_high,T24,Labilithrix,Abundance,3,0,0
Imolope_low,T24,Labilithrix,Abundance,3,0,0
Lop_high,T24,Labilithrix,Abundance,3,0,0
Lop_low,T24,Labilithrix,Abundance,3,0,0
Saline,T24,Labilithrix,Abundance,3,0,0
DMSO,T48,Labilithrix,Abundance,3,0,0
Imolope_high,T48,Labilithrix,Abundance,3,0,0
Imolope_low,T48,Labilithrix,Abundance,3,0,0
Lop_high,T48,Labilithrix,Abundance,3,0,0
Lop_low,T48,Labilithrix,Abundance,3,0,0
Saline,T48,Labilithrix,Abundance,3,0,0
DMSO,T72,Labilithrix,Abundance,3,0,0
Imolope_high,T72,Labilithrix,Abundance,3,0,0
Imolope_low,T72,Labilithrix,Abundance,3,0,0
Lop_high,T72,Labilithrix,Abundance,3,0,0
Lop_low,T72,Labilithrix,Abundance,3,0,0
Saline,T72,Labilithrix,Abundance,3,0,0
DMSO,T0,Lachnoanaerobaculum,Abundance,3,0.153,0.072
Imolope_high,T0,Lachnoanaerobaculum,Abundance,3,0.166,0.038
Imolope_low,T0,Lachnoanaerobaculum,Abundance,3,0.089,0.002
Lop_high,T0,Lachnoanaerobaculum,Abundance,3,0.12,0.053
Lop_low,T0,Lachnoanaerobaculum,Abundance,3,0.131,0.011
Saline,T0,Lachnoanaerobaculum,Abundance,3,0.063,0.025
DMSO,T24,Lachnoanaerobaculum,Abundance,3,0,0
Imolope_high,T24,Lachnoanaerobaculum,Abundance,3,0,0
Imolope_low,T24,Lachnoanaerobaculum,Abundance,3,0,0
Lop_high,T24,Lachnoanaerobaculum,Abundance,3,0,0
Lop_low,T24,Lachnoanaerobaculum,Abundance,3,0,0
Saline,T24,Lachnoanaerobaculum,Abundance,3,0,0
DMSO,T48,Lachnoanaerobaculum,Abundance,3,0,0
Imolope_high,T48,Lachnoanaerobaculum,Abundance,3,0,0
Imolope_low,T48,Lachnoanaerobaculum,Abundance,3,0,0
Lop_high,T48,Lachnoanaerobaculum,Abundance,3,0,0
Lop_low,T48,Lachnoanaerobaculum,Abundance,3,0,0
Saline,T48,Lachnoanaerobaculum,Abundance,3,0,0
DMSO,T72,Lachnoanaerobaculum,Abundance,3,0.005,0.004
Imolope_high,T72,Lachnoanaerobaculum,Abundance,3,0.001,0.001
Imolope_low,T72,Lachnoanaerobaculum,Abundance,3,0.006,0.003
Lop_high,T72,Lachnoanaerobaculum,Abundance,3,0.001,0.001
Lop_low,T72,Lachnoanaerobaculum,Abundance,3,0.003,0
Saline,T72,Lachnoanaerobaculum,Abundance,3,0.007,0.004
DMSO,T0,Lactobacillus,Abundance,3,19.006,0.804
Imolope_high,T0,Lactobacillus,Abundance,3,21.718,1.651
Imolope_low,T0,Lactobacillus,Abundance,3,17.561,1.062
Lop_high,T0,Lactobacillus,Abundance,3,18.332,2.998
Lop_low,T0,Lactobacillus,Abundance,3,19.873,3.121
Saline,T0,Lactobacillus,Abundance,3,17.547,1.299
DMSO,T24,Lactobacillus,Abundance,3,9.271,3.091
Imolope_high,T24,Lactobacillus,Abundance,3,7.365,1.951
Imolope_low,T24,Lactobacillus,Abundance,3,8.272,0.256
Lop_high,T24,Lactobacillus,Abundance,3,6.422,2.585
Lop_low,T24,Lactobacillus,Abundance,3,9.57,5.37
Saline,T24,Lactobacillus,Abundance,3,6.334,0.552
DMSO,T48,Lactobacillus,Abundance,3,7.462,0.588
Imolope_high,T48,Lactobacillus,Abundance,3,5.574,0.261
Imolope_low,T48,Lactobacillus,Abundance,3,10.077,0.836
Lop_high,T48,Lactobacillus,Abundance,3,4.199,0.77
Lop_low,T48,Lactobacillus,Abundance,3,7.036,0.846
Saline,T48,Lactobacillus,Abundance,3,6.25,0.884
DMSO,T72,Lactobacillus,Abundance,3,4.545,0.425
Imolope_high,T72,Lactobacillus,Abundance,3,3.287,0.432
Imolope_low,T72,Lactobacillus,Abundance,3,5.394,0.385
Lop_high,T72,Lactobacillus,Abundance,3,2.723,0.534
Lop_low,T72,Lactobacillus,Abundance,3,4.685,0.589
Saline,T72,Lactobacillus,Abundance,3,5.575,1.16
DMSO,T0,Latilactobacillus,Abundance,3,0,0
Imolope_high,T0,Latilactobacillus,Abundance,3,0.001,0.002
Imolope_low,T0,Latilactobacillus,Abundance,3,0,0
Lop_high,T0,Latilactobacillus,Abundance,3,0,0
Lop_low,T0,Latilactobacillus,Abundance,3,0,0
Saline,T0,Latilactobacillus,Abundance,3,0,0
DMSO,T24,Latilactobacillus,Abundance,3,0,0
Imolope_high,T24,Latilactobacillus,Abundance,3,0,0
Imolope_low,T24,Latilactobacillus,Abundance,3,0,0
Lop_high,T24,Latilactobacillus,Abundance,3,0,0
Lop_low,T24,Latilactobacillus,Abundance,3,0,0
Saline,T24,Latilactobacillus,Abundance,3,0,0
DMSO,T48,Latilactobacillus,Abundance,3,0,0
Imolope_high,T48,Latilactobacillus,Abundance,3,0,0
Imolope_low,T48,Latilactobacillus,Abundance,3,0,0
Lop_high,T48,Latilactobacillus,Abundance,3,0,0
Lop_low,T48,Latilactobacillus,Abundance,3,0,0
Saline,T48,Latilactobacillus,Abundance,3,0,0
DMSO,T72,Latilactobacillus,Abundance,3,0,0
Imolope_high,T72,Latilactobacillus,Abundance,3,0,0
Imolope_low,T72,Latilactobacillus,Abundance,3,0,0
Lop_high,T72,Latilactobacillus,Abundance,3,0,0
Lop_low,T72,Latilactobacillus,Abundance,3,0,0
Saline,T72,Latilactobacillus,Abundance,3,0,0
DMSO,T0,Lawsonibacter,Abundance,3,0.028,0.009
Imolope_high,T0,Lawsonibacter,Abundance,3,0.052,0.062
Imolope_low,T0,Lawsonibacter,Abundance,3,0.037,0.015
Lop_high,T0,Lawsonibacter,Abundance,3,0.046,0.014
Lop_low,T0,Lawsonibacter,Abundance,3,0.062,0.014
Saline,T0,Lawsonibacter,Abundance,3,0.02,0.005
DMSO,T24,Lawsonibacter,Abundance,3,0,0.001
Imolope_high,T24,Lawsonibacter,Abundance,3,0,0
Imolope_low,T24,Lawsonibacter,Abundance,3,0,0
Lop_high,T24,Lawsonibacter,Abundance,3,0,0
Lop_low,T24,Lawsonibacter,Abundance,3,0,0
Saline,T24,Lawsonibacter,Abundance,3,0,0
DMSO,T48,Lawsonibacter,Abundance,3,0,0
Imolope_high,T48,Lawsonibacter,Abundance,3,0,0
Imolope_low,T48,Lawsonibacter,Abundance,3,0,0
Lop_high,T48,Lawsonibacter,Abundance,3,0,0
Lop_low,T48,Lawsonibacter,Abundance,3,0,0
Saline,T48,Lawsonibacter,Abundance,3,0,0.001
DMSO,T72,Lawsonibacter,Abundance,3,0,0.001
Imolope_high,T72,Lawsonibacter,Abundance,3,0,0
Imolope_low,T72,Lawsonibacter,Abundance,3,0,0
Lop_high,T72,Lawsonibacter,Abundance,3,0,0
Lop_low,T72,Lawsonibacter,Abundance,3,0,0
Saline,T72,Lawsonibacter,Abundance,3,0,0
DMSO,T0,Ligilactobacillus,Abundance,3,14.443,5.223
Imolope_high,T0,Ligilactobacillus,Abundance,3,11.56,2.508
Imolope_low,T0,Ligilactobacillus,Abundance,3,21.993,1.864
Lop_high,T0,Ligilactobacillus,Abundance,3,19.163,7.29
Lop_low,T0,Ligilactobacillus,Abundance,3,16.866,8.213
Saline,T0,Ligilactobacillus,Abundance,3,23.797,2.672
DMSO,T24,Ligilactobacillus,Abundance,3,31.446,15.472
Imolope_high,T24,Ligilactobacillus,Abundance,3,22.674,10.154
Imolope_low,T24,Ligilactobacillus,Abundance,3,8.711,1.395
Lop_high,T24,Ligilactobacillus,Abundance,3,16.955,7.71
Lop_low,T24,Ligilactobacillus,Abundance,3,15.556,7.12
Saline,T24,Ligilactobacillus,Abundance,3,14.079,1.429
DMSO,T48,Ligilactobacillus,Abundance,3,11.825,1.788
Imolope_high,T48,Ligilactobacillus,Abundance,3,9.306,1.627
Imolope_low,T48,Ligilactobacillus,Abundance,3,6.049,1.572
Lop_high,T48,Ligilactobacillus,Abundance,3,7.983,0.367
Lop_low,T48,Ligilactobacillus,Abundance,3,7.629,2.221
Saline,T48,Ligilactobacillus,Abundance,3,17.834,5.187
DMSO,T72,Ligilactobacillus,Abundance,3,8.953,1.651
Imolope_high,T72,Ligilactobacillus,Abundance,3,7.11,1.153
Imolope_low,T72,Ligilactobacillus,Abundance,3,5.41,0.673
Lop_high,T72,Ligilactobacillus,Abundance,3,2.413,0.736
Lop_low,T72,Ligilactobacillus,Abundance,3,6.203,0.87
Saline,T72,Ligilactobacillus,Abundance,3,10.32,3.444
DMSO,T0,Limosilactobacillus,Abundance,3,22.466,3.127
Imolope_high,T0,Limosilactobacillus,Abundance,3,24.516,0.47
Imolope_low,T0,Limosilactobacillus,Abundance,3,22.859,0.931
Lop_high,T0,Limosilactobacillus,Abundance,3,23.285,1.737
Lop_low,T0,Limosilactobacillus,Abundance,3,22.588,2.979
Saline,T0,Limosilactobacillus,Abundance,3,24.637,2.325
DMSO,T24,Limosilactobacillus,Abundance,3,12.111,1.272
Imolope_high,T24,Limosilactobacillus,Abundance,3,14.682,1.017
Imolope_low,T24,Limosilactobacillus,Abundance,3,12.412,2.254
Lop_high,T24,Limosilactobacillus,Abundance,3,11.145,2.239
Lop_low,T24,Limosilactobacillus,Abundance,3,12.99,3.72
Saline,T24,Limosilactobacillus,Abundance,3,11.189,1.82
DMSO,T48,Limosilactobacillus,Abundance,3,7.204,0.376
Imolope_high,T48,Limosilactobacillus,Abundance,3,6.432,1.005
Imolope_low,T48,Limosilactobacillus,Abundance,3,5.844,0.992
Lop_high,T48,Limosilactobacillus,Abundance,3,3.488,1.345
Lop_low,T48,Limosilactobacillus,Abundance,3,6.119,0.774
Saline,T48,Limosilactobacillus,Abundance,3,3.159,0.462
DMSO,T72,Limosilactobacillus,Abundance,3,2.246,0.171
Imolope_high,T72,Limosilactobacillus,Abundance,3,2.304,0.032
Imolope_low,T72,Limosilactobacillus,Abundance,3,2.767,0.204
Lop_high,T72,Limosilactobacillus,Abundance,3,0.593,0.241
Lop_low,T72,Limosilactobacillus,Abundance,3,1.467,0.341
Saline,T72,Limosilactobacillus,Abundance,3,0.894,0.154
DMSO,T0,Listeria,Abundance,3,0,0
Imolope_high,T0,Listeria,Abundance,3,0,0
Imolope_low,T0,Listeria,Abundance,3,0,0
Lop_high,T0,Listeria,Abundance,3,0,0
Lop_low,T0,Listeria,Abundance,3,0.004,0.007
Saline,T0,Listeria,Abundance,3,0,0
DMSO,T24,Listeria,Abundance,3,0,0.001
Imolope_high,T24,Listeria,Abundance,3,0.001,0.002
Imolope_low,T24,Listeria,Abundance,3,0.001,0.001
Lop_high,T24,Listeria,Abundance,3,0.001,0.002
Lop_low,T24,Listeria,Abundance,3,0,0
Saline,T24,Listeria,Abundance,3,0.001,0.001
DMSO,T48,Listeria,Abundance,3,0,0
Imolope_high,T48,Listeria,Abundance,3,0,0.001
Imolope_low,T48,Listeria,Abundance,3,0,0
Lop_high,T48,Listeria,Abundance,3,0,0
Lop_low,T48,Listeria,Abundance,3,0,0
Saline,T48,Listeria,Abundance,3,0,0
DMSO,T72,Listeria,Abundance,3,0.001,0.001
Imolope_high,T72,Listeria,Abundance,3,0,0
Imolope_low,T72,Listeria,Abundance,3,0,0
Lop_high,T72,Listeria,Abundance,3,0,0
Lop_low,T72,Listeria,Abundance,3,0,0
Saline,T72,Listeria,Abundance,3,0,0.001
DMSO,T0,Longibaculum,Abundance,3,0.102,0.026
Imolope_high,T0,Longibaculum,Abundance,3,0.149,0.018
Imolope_low,T0,Longibaculum,Abundance,3,0.105,0.04
Lop_high,T0,Longibaculum,Abundance,3,0.135,0.032
Lop_low,T0,Longibaculum,Abundance,3,0.089,0.011
Saline,T0,Longibaculum,Abundance,3,0.128,0.056
DMSO,T24,Longibaculum,Abundance,3,0,0
Imolope_high,T24,Longibaculum,Abundance,3,0.002,0.004
Imolope_low,T24,Longibaculum,Abundance,3,0,0
Lop_high,T24,Longibaculum,Abundance,3,0,0
Lop_low,T24,Longibaculum,Abundance,3,0.001,0.002
Saline,T24,Longibaculum,Abundance,3,0,0.001
DMSO,T48,Longibaculum,Abundance,3,0,0
Imolope_high,T48,Longibaculum,Abundance,3,0,0
Imolope_low,T48,Longibaculum,Abundance,3,0,0
Lop_high,T48,Longibaculum,Abundance,3,0,0
Lop_low,T48,Longibaculum,Abundance,3,0,0.001
Saline,T48,Longibaculum,Abundance,3,0,0
DMSO,T72,Longibaculum,Abundance,3,0.008,0.008
Imolope_high,T72,Longibaculum,Abundance,3,0.004,0.004
Imolope_low,T72,Longibaculum,Abundance,3,0.012,0.003
Lop_high,T72,Longibaculum,Abundance,3,0.002,0.003
Lop_low,T72,Longibaculum,Abundance,3,0.001,0.002
Saline,T72,Longibaculum,Abundance,3,0.005,0.006
DMSO,T0,Massiliimalia,Abundance,3,0.027,0.018
Imolope_high,T0,Massiliimalia,Abundance,3,0.036,0.006
Imolope_low,T0,Massiliimalia,Abundance,3,0.013,0.016
Lop_high,T0,Massiliimalia,Abundance,3,0.024,0.012
Lop_low,T0,Massiliimalia,Abundance,3,0.024,0.015
Saline,T0,Massiliimalia,Abundance,3,0.014,0.019
DMSO,T24,Massiliimalia,Abundance,3,0,0
Imolope_high,T24,Massiliimalia,Abundance,3,0,0
Imolope_low,T24,Massiliimalia,Abundance,3,0,0
Lop_high,T24,Massiliimalia,Abundance,3,0,0.001
Lop_low,T24,Massiliimalia,Abundance,3,0,0
Saline,T24,Massiliimalia,Abundance,3,0,0
DMSO,T48,Massiliimalia,Abundance,3,0,0
Imolope_high,T48,Massiliimalia,Abundance,3,0,0
Imolope_low,T48,Massiliimalia,Abundance,3,0,0
Lop_high,T48,Massiliimalia,Abundance,3,0,0
Lop_low,T48,Massiliimalia,Abundance,3,0,0
Saline,T48,Massiliimalia,Abundance,3,0,0
DMSO,T72,Massiliimalia,Abundance,3,0,0
Imolope_high,T72,Massiliimalia,Abundance,3,0,0
Imolope_low,T72,Massiliimalia,Abundance,3,0,0
Lop_high,T72,Massiliimalia,Abundance,3,0,0
Lop_low,T72,Massiliimalia,Abundance,3,0,0
Saline,T72,Massiliimalia,Abundance,3,0,0
DMSO,T0,Methylorubrum,Abundance,3,0.007,0.009
Imolope_high,T0,Methylorubrum,Abundance,3,0,0
Imolope_low,T0,Methylorubrum,Abundance,3,0.005,0.009
Lop_high,T0,Methylorubrum,Abundance,3,0,0
Lop_low,T0,Methylorubrum,Abundance,3,0.008,0.014
Saline,T0,Methylorubrum,Abundance,3,0.004,0.007
DMSO,T24,Methylorubrum,Abundance,3,0,0
Imolope_high,T24,Methylorubrum,Abundance,3,0,0
Imolope_low,T24,Methylorubrum,Abundance,3,0,0
Lop_high,T24,Methylorubrum,Abundance,3,0,0
Lop_low,T24,Methylorubrum,Abundance,3,0,0
Saline,T24,Methylorubrum,Abundance,3,0,0
DMSO,T48,Methylorubrum,Abundance,3,0,0
Imolope_high,T48,Methylorubrum,Abundance,3,0,0
Imolope_low,T48,Methylorubrum,Abundance,3,0,0
Lop_high,T48,Methylorubrum,Abundance,3,0,0
Lop_low,T48,Methylorubrum,Abundance,3,0,0
Saline,T48,Methylorubrum,Abundance,3,0,0
DMSO,T72,Methylorubrum,Abundance,3,0,0
Imolope_high,T72,Methylorubrum,Abundance,3,0,0
Imolope_low,T72,Methylorubrum,Abundance,3,0,0
Lop_high,T72,Methylorubrum,Abundance,3,0,0
Lop_low,T72,Methylorubrum,Abundance,3,0,0.001
Saline,T72,Methylorubrum,Abundance,3,0,0
DMSO,T0,Methyloversatilis,Abundance,3,0,0
Imolope_high,T0,Methyloversatilis,Abundance,3,0,0
Imolope_low,T0,Methyloversatilis,Abundance,3,0,0
Lop_high,T0,Methyloversatilis,Abundance,3,0,0
Lop_low,T0,Methyloversatilis,Abundance,3,0.014,0.018
Saline,T0,Methyloversatilis,Abundance,3,0,0
DMSO,T24,Methyloversatilis,Abundance,3,0,0
Imolope_high,T24,Methyloversatilis,Abundance,3,0,0
Imolope_low,T24,Methyloversatilis,Abundance,3,0,0
Lop_high,T24,Methyloversatilis,Abundance,3,0,0
Lop_low,T24,Methyloversatilis,Abundance,3,0,0
Saline,T24,Methyloversatilis,Abundance,3,0,0
DMSO,T48,Methyloversatilis,Abundance,3,0,0
Imolope_high,T48,Methyloversatilis,Abundance,3,0,0
Imolope_low,T48,Methyloversatilis,Abundance,3,0,0
Lop_high,T48,Methyloversatilis,Abundance,3,0,0
Lop_low,T48,Methyloversatilis,Abundance,3,0,0
Saline,T48,Methyloversatilis,Abundance,3,0,0
DMSO,T72,Methyloversatilis,Abundance,3,0,0
Imolope_high,T72,Methyloversatilis,Abundance,3,0,0
Imolope_low,T72,Methyloversatilis,Abundance,3,0,0
Lop_high,T72,Methyloversatilis,Abundance,3,0,0
Lop_low,T72,Methyloversatilis,Abundance,3,0,0
Saline,T72,Methyloversatilis,Abundance,3,0,0
DMSO,T0,Monoglobus,Abundance,3,0.091,0.022
Imolope_high,T0,Monoglobus,Abundance,3,0.133,0.015
Imolope_low,T0,Monoglobus,Abundance,3,0.088,0.073
Lop_high,T0,Monoglobus,Abundance,3,0.094,0.039
Lop_low,T0,Monoglobus,Abundance,3,0.128,0.042
Saline,T0,Monoglobus,Abundance,3,0.081,0.021
DMSO,T24,Monoglobus,Abundance,3,0,0
Imolope_high,T24,Monoglobus,Abundance,3,0,0
Imolope_low,T24,Monoglobus,Abundance,3,0,0
Lop_high,T24,Monoglobus,Abundance,3,0,0
Lop_low,T24,Monoglobus,Abundance,3,0,0
Saline,T24,Monoglobus,Abundance,3,0,0
DMSO,T48,Monoglobus,Abundance,3,0,0
Imolope_high,T48,Monoglobus,Abundance,3,0,0
Imolope_low,T48,Monoglobus,Abundance,3,0,0
Lop_high,T48,Monoglobus,Abundance,3,0,0
Lop_low,T48,Monoglobus,Abundance,3,0,0
Saline,T48,Monoglobus,Abundance,3,0,0
DMSO,T72,Monoglobus,Abundance,3,0,0
Imolope_high,T72,Monoglobus,Abundance,3,0,0
Imolope_low,T72,Monoglobus,Abundance,3,0,0
Lop_high,T72,Monoglobus,Abundance,3,0,0
Lop_low,T72,Monoglobus,Abundance,3,0,0
Saline,T72,Monoglobus,Abundance,3,0,0
DMSO,T0,Neglecta,Abundance,3,0.285,0.039
Imolope_high,T0,Neglecta,Abundance,3,0.346,0.023
Imolope_low,T0,Neglecta,Abundance,3,0.22,0.058
Lop_high,T0,Neglecta,Abundance,3,0.395,0.185
Lop_low,T0,Neglecta,Abundance,3,0.39,0.053
Saline,T0,Neglecta,Abundance,3,0.269,0.064
DMSO,T24,Neglecta,Abundance,3,0,0
Imolope_high,T24,Neglecta,Abundance,3,0,0
Imolope_low,T24,Neglecta,Abundance,3,0,0
Lop_high,T24,Neglecta,Abundance,3,0.001,0.001
Lop_low,T24,Neglecta,Abundance,3,0.001,0.001
Saline,T24,Neglecta,Abundance,3,0,0
DMSO,T48,Neglecta,Abundance,3,0.001,0.001
Imolope_high,T48,Neglecta,Abundance,3,0.001,0.001
Imolope_low,T48,Neglecta,Abundance,3,0.001,0.001
Lop_high,T48,Neglecta,Abundance,3,0.001,0.001
Lop_low,T48,Neglecta,Abundance,3,0.002,0.002
Saline,T48,Neglecta,Abundance,3,0.003,0.002
DMSO,T72,Neglecta,Abundance,3,0.064,0.019
Imolope_high,T72,Neglecta,Abundance,3,0.035,0.013
Imolope_low,T72,Neglecta,Abundance,3,0.069,0.021
Lop_high,T72,Neglecta,Abundance,3,0.122,0.006
Lop_low,T72,Neglecta,Abundance,3,0.104,0.033
Saline,T72,Neglecta,Abundance,3,0.141,0.067
DMSO,T0,Olsenella,Abundance,3,0,0
Imolope_high,T0,Olsenella,Abundance,3,0,0
Imolope_low,T0,Olsenella,Abundance,3,0,0
Lop_high,T0,Olsenella,Abundance,3,0,0
Lop_low,T0,Olsenella,Abundance,3,0,0
Saline,T0,Olsenella,Abundance,3,0.001,0.002
DMSO,T24,Olsenella,Abundance,3,0,0
Imolope_high,T24,Olsenella,Abundance,3,0,0
Imolope_low,T24,Olsenella,Abundance,3,0,0
Lop_high,T24,Olsenella,Abundance,3,0,0.001
Lop_low,T24,Olsenella,Abundance,3,0,0
Saline,T24,Olsenella,Abundance,3,0,0.001
DMSO,T48,Olsenella,Abundance,3,0,0
Imolope_high,T48,Olsenella,Abundance,3,0,0
Imolope_low,T48,Olsenella,Abundance,3,0,0
Lop_high,T48,Olsenella,Abundance,3,0.002,0.002
Lop_low,T48,Olsenella,Abundance,3,0,0
Saline,T48,Olsenella,Abundance,3,0.001,0
DMSO,T72,Olsenella,Abundance,3,0,0
Imolope_high,T72,Olsenella,Abundance,3,0,0
Imolope_low,T72,Olsenella,Abundance,3,0,0
Lop_high,T72,Olsenella,Abundance,3,0.004,0.004
Lop_low,T72,Olsenella,Abundance,3,0,0
Saline,T72,Olsenella,Abundance,3,0.004,0.004
DMSO,T0,Order_Chromatiales,Abundance,3,0.007,0.009
Imolope_high,T0,Order_Chromatiales,Abundance,3,0.009,0.012
Imolope_low,T0,Order_Chromatiales,Abundance,3,0.001,0.002
Lop_high,T0,Order_Chromatiales,Abundance,3,0,0
Lop_low,T0,Order_Chromatiales,Abundance,3,0.003,0.005
Saline,T0,Order_Chromatiales,Abundance,3,0.003,0.003
DMSO,T24,Order_Chromatiales,Abundance,3,0,0.001
Imolope_high,T24,Order_Chromatiales,Abundance,3,0,0
Imolope_low,T24,Order_Chromatiales,Abundance,3,0.001,0.001
Lop_high,T24,Order_Chromatiales,Abundance,3,0,0
Lop_low,T24,Order_Chromatiales,Abundance,3,0,0
Saline,T24,Order_Chromatiales,Abundance,3,0,0
DMSO,T48,Order_Chromatiales,Abundance,3,0,0
Imolope_high,T48,Order_Chromatiales,Abundance,3,0,0
Imolope_low,T48,Order_Chromatiales,Abundance,3,0,0
Lop_high,T48,Order_Chromatiales,Abundance,3,0,0
Lop_low,T48,Order_Chromatiales,Abundance,3,0,0
Saline,T48,Order_Chromatiales,Abundance,3,0,0
DMSO,T72,Order_Chromatiales,Abundance,3,0,0
Imolope_high,T72,Order_Chromatiales,Abundance,3,0,0
Imolope_low,T72,Order_Chromatiales,Abundance,3,0,0
Lop_high,T72,Order_Chromatiales,Abundance,3,0,0
Lop_low,T72,Order_Chromatiales,Abundance,3,0,0
Saline,T72,Order_Chromatiales,Abundance,3,0,0
DMSO,T0,Order_Clostridiales,Abundance,3,0.611,0.186
Imolope_high,T0,Order_Clostridiales,Abundance,3,0.575,0.057
Imolope_low,T0,Order_Clostridiales,Abundance,3,0.494,0.212
Lop_high,T0,Order_Clostridiales,Abundance,3,0.696,0.2
Lop_low,T0,Order_Clostridiales,Abundance,3,0.626,0.057
Saline,T0,Order_Clostridiales,Abundance,3,0.526,0.037
DMSO,T24,Order_Clostridiales,Abundance,3,0,0.001
Imolope_high,T24,Order_Clostridiales,Abundance,3,0,0
Imolope_low,T24,Order_Clostridiales,Abundance,3,0.001,0.001
Lop_high,T24,Order_Clostridiales,Abundance,3,0.001,0.002
Lop_low,T24,Order_Clostridiales,Abundance,3,0,0.001
Saline,T24,Order_Clostridiales,Abundance,3,0.001,0.001
DMSO,T48,Order_Clostridiales,Abundance,3,0,0
Imolope_high,T48,Order_Clostridiales,Abundance,3,0,0.001
Imolope_low,T48,Order_Clostridiales,Abundance,3,0.002,0.002
Lop_high,T48,Order_Clostridiales,Abundance,3,0,0
Lop_low,T48,Order_Clostridiales,Abundance,3,0.002,0.003
Saline,T48,Order_Clostridiales,Abundance,3,0.001,0.001
DMSO,T72,Order_Clostridiales,Abundance,3,0.001,0
Imolope_high,T72,Order_Clostridiales,Abundance,3,0.001,0.001
Imolope_low,T72,Order_Clostridiales,Abundance,3,0,0.001
Lop_high,T72,Order_Clostridiales,Abundance,3,0.001,0.001
Lop_low,T72,Order_Clostridiales,Abundance,3,0.001,0.002
Saline,T72,Order_Clostridiales,Abundance,3,0.002,0.001
DMSO,T0,Order_Rhodospirillales,Abundance,3,0.026,0.024
Imolope_high,T0,Order_Rhodospirillales,Abundance,3,0.01,0.011
Imolope_low,T0,Order_Rhodospirillales,Abundance,3,0.007,0.009
Lop_high,T0,Order_Rhodospirillales,Abundance,3,0.002,0.003
Lop_low,T0,Order_Rhodospirillales,Abundance,3,0,0
Saline,T0,Order_Rhodospirillales,Abundance,3,0.002,0.004
DMSO,T24,Order_Rhodospirillales,Abundance,3,0,0
Imolope_high,T24,Order_Rhodospirillales,Abundance,3,0,0
Imolope_low,T24,Order_Rhodospirillales,Abundance,3,0,0
Lop_high,T24,Order_Rhodospirillales,Abundance,3,0,0
Lop_low,T24,Order_Rhodospirillales,Abundance,3,0,0
Saline,T24,Order_Rhodospirillales,Abundance,3,0,0
DMSO,T48,Order_Rhodospirillales,Abundance,3,0,0
