Treatment,Time_point,Genus,variable,n,mean,sd
Saline,T48,Amedibacillus,Abundance,3,0.006,0.006
DMSO,T72,Amedibacillus,Abundance,3,0.009,0.004
Imolope_high,T72,Amedibacillus,Abundance,3,0.016,0.008
Imolope_low,T72,Amedibacillus,Abundance,3,0.018,0.01
Lop_high,T72,Amedibacillus,Abundance,3,0.008,0.003
Lop_low,T72,Amedibacillus,Abundance,3,0.015,0.01
Saline,T72,Amedibacillus,Abundance,3,0.022,0.005
DMSO,T0,Anaerofilum,Abundance,3,0.012,0.011
Imolope_high,T0,Anaerofilum,Abundance,3,0.015,0.014
Imolope_low,T0,Anaerofilum,Abundance,3,0.029,0.018
Lop_high,T0,Anaerofilum,Abundance,3,0.045,0.021
Lop_low,T0,Anaerofilum,Abundance,3,0.028,0.024
Saline,T0,Anaerofilum,Abundance,3,0.022,0.004
DMSO,T24,Anaerofilum,Abundance,3,0,0
Imolope_high,T24,Anaerofilum,Abundance,3,0,0
Imolope_low,T24,Anaerofilum,Abundance,3,0,0
Lop_high,T24,Anaerofilum,Abundance,3,0,0
Lop_low,T24,Anaerofilum,Abundance,3,0,0
Saline,T24,Anaerofilum,Abundance,3,0,0
DMSO,T48,Anaerofilum,Abundance,3,0,0
Imolope_high,T48,Anaerofilum,Abundance,3,0,0
Imolope_low,T48,Anaerofilum,Abundance,3,0,0
Lop_high,T48,Anaerofilum,Abundance,3,0,0
Lop_low,T48,Anaerofilum,Abundance,3,0,0
Saline,T48,Anaerofilum,Abundance,3,0,0
DMSO,T72,Anaerofilum,Abundance,3,0,0
Imolope_high,T72,Anaerofilum,Abundance,3,0,0
Imolope_low,T72,Anaerofilum,Abundance,3,0,0
Lop_high,T72,Anaerofilum,Abundance,3,0,0
Lop_low,T72,Anaerofilum,Abundance,3,0,0
Saline,T72,Anaerofilum,Abundance,3,0,0
DMSO,T0,Anaerofustis,Abundance,3,0.023,0.022
Imolope_high,T0,Anaerofustis,Abundance,3,0.027,0.03
Imolope_low,T0,Anaerofustis,Abundance,3,0.011,0.013
Lop_high,T0,Anaerofustis,Abundance,3,0.009,0.011
Lop_low,T0,Anaerofustis,Abundance,3,0.019,0.022
Saline,T0,Anaerofustis,Abundance,3,0.016,0.015
DMSO,T24,Anaerofustis,Abundance,3,0,0
Imolope_high,T24,Anaerofustis,Abundance,3,0,0
Imolope_low,T24,Anaerofustis,Abundance,3,0,0
Lop_high,T24,Anaerofustis,Abundance,3,0,0
Lop_low,T24,Anaerofustis,Abundance,3,0,0
Saline,T24,Anaerofustis,Abundance,3,0,0
DMSO,T48,Anaerofustis,Abundance,3,0,0
Imolope_high,T48,Anaerofustis,Abundance,3,0,0
Imolope_low,T48,Anaerofustis,Abundance,3,0,0
Lop_high,T48,Anaerofustis,Abundance,3,0,0
Lop_low,T48,Anaerofustis,Abundance,3,0,0
Saline,T48,Anaerofustis,Abundance,3,0,0
DMSO,T72,Anaerofustis,Abundance,3,0,0
Imolope_high,T72,Anaerofustis,Abundance,3,0,0
Imolope_low,T72,Anaerofustis,Abundance,3,0,0
Lop_high,T72,Anaerofustis,Abundance,3,0,0
Lop_low,T72,Anaerofustis,Abundance,3,0,0
Saline,T72,Anaerofustis,Abundance,3,0,0
DMSO,T0,Anaeroplasma,Abundance,3,0.024,0.012
Imolope_high,T0,Anaeroplasma,Abundance,3,0.012,0.004
Imolope_low,T0,Anaeroplasma,Abundance,3,0.012,0.001
Lop_high,T0,Anaeroplasma,Abundance,3,0.006,0.008
Lop_low,T0,Anaeroplasma,Abundance,3,0.032,0.021
Saline,T0,Anaeroplasma,Abundance,3,0.013,0.009
DMSO,T24,Anaeroplasma,Abundance,3,0,0.001
Imolope_high,T24,Anaeroplasma,Abundance,3,0,0
Imolope_low,T24,Anaeroplasma,Abundance,3,0,0
Lop_high,T24,Anaeroplasma,Abundance,3,0,0
Lop_low,T24,Anaeroplasma,Abundance,3,0,0
Saline,T24,Anaeroplasma,Abundance,3,0,0
DMSO,T48,Anaeroplasma,Abundance,3,0,0
Imolope_high,T48,Anaeroplasma,Abundance,3,0,0
Imolope_low,T48,Anaeroplasma,Abundance,3,0,0
Lop_high,T48,Anaeroplasma,Abundance,3,0,0
Lop_low,T48,Anaeroplasma,Abundance,3,0,0.001
Saline,T48,Anaeroplasma,Abundance,3,0,0
DMSO,T72,Anaeroplasma,Abundance,3,0,0
Imolope_high,T72,Anaeroplasma,Abundance,3,0,0
Imolope_low,T72,Anaeroplasma,Abundance,3,0,0
Lop_high,T72,Anaeroplasma,Abundance,3,0,0
Lop_low,T72,Anaeroplasma,Abundance,3,0,0
Saline,T72,Anaeroplasma,Abundance,3,0,0
DMSO,T0,Anaerosalibacter,Abundance,3,0,0
Imolope_high,T0,Anaerosalibacter,Abundance,3,0,0
Imolope_low,T0,Anaerosalibacter,Abundance,3,0,0
Lop_high,T0,Anaerosalibacter,Abundance,3,0,0
Lop_low,T0,Anaerosalibacter,Abundance,3,0,0
Saline,T0,Anaerosalibacter,Abundance,3,0,0
DMSO,T24,Anaerosalibacter,Abundance,3,0,0
Imolope_high,T24,Anaerosalibacter,Abundance,3,0,0
Imolope_low,T24,Anaerosalibacter,Abundance,3,0,0
Lop_high,T24,Anaerosalibacter,Abundance,3,0,0
Lop_low,T24,Anaerosalibacter,Abundance,3,0,0
Saline,T24,Anaerosalibacter,Abundance,3,0,0
DMSO,T48,Anaerosalibacter,Abundance,3,0,0
Imolope_high,T48,Anaerosalibacter,Abundance,3,0,0
Imolope_low,T48,Anaerosalibacter,Abundance,3,0,0
Lop_high,T48,Anaerosalibacter,Abundance,3,0,0
Lop_low,T48,Anaerosalibacter,Abundance,3,0,0
Saline,T48,Anaerosalibacter,Abundance,3,0,0
DMSO,T72,Anaerosalibacter,Abundance,3,0,0
Imolope_high,T72,Anaerosalibacter,Abundance,3,0,0
Imolope_low,T72,Anaerosalibacter,Abundance,3,0,0
Lop_high,T72,Anaerosalibacter,Abundance,3,0,0
Lop_low,T72,Anaerosalibacter,Abundance,3,0,0
Saline,T72,Anaerosalibacter,Abundance,3,0.036,0.063
DMSO,T0,Anaerotignum,Abundance,3,0.06,0.034
Imolope_high,T0,Anaerotignum,Abundance,3,0.088,0.044
Imolope_low,T0,Anaerotignum,Abundance,3,0.077,0.01
Lop_high,T0,Anaerotignum,Abundance,3,0.079,0.037
Lop_low,T0,Anaerotignum,Abundance,3,0.116,0.015
Saline,T0,Anaerotignum,Abundance,3,0.061,0.008
DMSO,T24,Anaerotignum,Abundance,3,0,0
Imolope_high,T24,Anaerotignum,Abundance,3,0,0
Imolope_low,T24,Anaerotignum,Abundance,3,0,0
Lop_high,T24,Anaerotignum,Abundance,3,0,0
Lop_low,T24,Anaerotignum,Abundance,3,0.001,0.002
Saline,T24,Anaerotignum,Abundance,3,0,0
DMSO,T48,Anaerotignum,Abundance,3,0,0
Imolope_high,T48,Anaerotignum,Abundance,3,0,0
Imolope_low,T48,Anaerotignum,Abundance,3,0,0.001
Lop_high,T48,Anaerotignum,Abundance,3,0,0.001
Lop_low,T48,Anaerotignum,Abundance,3,0.001,0.002
Saline,T48,Anaerotignum,Abundance,3,0,0
DMSO,T72,Anaerotignum,Abundance,3,0.063,0.11
Imolope_high,T72,Anaerotignum,Abundance,3,0,0
Imolope_low,T72,Anaerotignum,Abundance,3,0.027,0.046
Lop_high,T72,Anaerotignum,Abundance,3,0,0
Lop_low,T72,Anaerotignum,Abundance,3,0.155,0.082
Saline,T72,Anaerotignum,Abundance,3,0.001,0.001
DMSO,T0,Anaerotruncus,Abundance,3,0.135,0.055
Imolope_high,T0,Anaerotruncus,Abundance,3,0.188,0.019
Imolope_low,T0,Anaerotruncus,Abundance,3,0.109,0.044
Lop_high,T0,Anaerotruncus,Abundance,3,0.132,0.084
Lop_low,T0,Anaerotruncus,Abundance,3,0.144,0.038
Saline,T0,Anaerotruncus,Abundance,3,0.122,0.056
DMSO,T24,Anaerotruncus,Abundance,3,0,0
Imolope_high,T24,Anaerotruncus,Abundance,3,0,0
Imolope_low,T24,Anaerotruncus,Abundance,3,0,0
Lop_high,T24,Anaerotruncus,Abundance,3,0,0
Lop_low,T24,Anaerotruncus,Abundance,3,0,0
Saline,T24,Anaerotruncus,Abundance,3,0,0.001
DMSO,T48,Anaerotruncus,Abundance,3,0,0
Imolope_high,T48,Anaerotruncus,Abundance,3,0,0
Imolope_low,T48,Anaerotruncus,Abundance,3,0,0
Lop_high,T48,Anaerotruncus,Abundance,3,0,0
Lop_low,T48,Anaerotruncus,Abundance,3,0.001,0.001
Saline,T48,Anaerotruncus,Abundance,3,0,0.001
DMSO,T72,Anaerotruncus,Abundance,3,0,0
Imolope_high,T72,Anaerotruncus,Abundance,3,0,0
Imolope_low,T72,Anaerotruncus,Abundance,3,0,0
