Day,Group,Genus,variable,n,mean,sd
D09,Medium,Romboutsia,Abundance,6,0,0.001
D02,Control,Roseburia,Abundance,6,0.154,0.163
D02,High,Roseburia,Abundance,6,0.206,0.363
D02,Low,Roseburia,Abundance,6,0.046,0.041
D02,Medium,Roseburia,Abundance,6,0.043,0.038
D05,Control,Roseburia,Abundance,6,0.173,0.411
D05,High,Roseburia,Abundance,6,0.123,0.123
D05,Low,Roseburia,Abundance,6,0.502,0.93
D05,Medium,Roseburia,Abundance,6,0.169,0.163
D09,Control,Roseburia,Abundance,6,0.275,0.275
D09,High,Roseburia,Abundance,6,0.166,0.4
D09,Low,Roseburia,Abundance,6,0.37,0.873
D09,Medium,Roseburia,Abundance,6,0.03,0.043
D02,Control,Ruminococcus,Abundance,6,2.931,0.424
D02,High,Ruminococcus,Abundance,6,2.157,2.066
D02,Low,Ruminococcus,Abundance,6,0.853,0.701
D02,Medium,Ruminococcus,Abundance,6,2.854,1.817
D05,Control,Ruminococcus,Abundance,6,3.205,1.181
D05,High,Ruminococcus,Abundance,6,1.766,1.888
D05,Low,Ruminococcus,Abundance,6,1.336,1.658
D05,Medium,Ruminococcus,Abundance,6,2.453,1.53
D09,Control,Ruminococcus,Abundance,6,0.204,0.145
D09,High,Ruminococcus,Abundance,6,0.282,0.255
D09,Low,Ruminococcus,Abundance,6,0.6,1.041
D09,Medium,Ruminococcus,Abundance,6,0.656,0.649
D02,Control,Ruthenibacterium,Abundance,6,0.025,0.028
D02,High,Ruthenibacterium,Abundance,6,0.021,0.033
D02,Low,Ruthenibacterium,Abundance,6,0.042,0.026
D02,Medium,Ruthenibacterium,Abundance,6,0.032,0.023
D05,Control,Ruthenibacterium,Abundance,6,0.026,0.043
D05,High,Ruthenibacterium,Abundance,6,0.018,0.036
D05,Low,Ruthenibacterium,Abundance,6,0.035,0.014
D05,Medium,Ruthenibacterium,Abundance,6,0.016,0.018
D09,Control,Ruthenibacterium,Abundance,6,0.022,0.015
D09,High,Ruthenibacterium,Abundance,6,0.043,0.053
D09,Low,Ruthenibacterium,Abundance,6,0.051,0.071
D09,Medium,Ruthenibacterium,Abundance,6,0.024,0.029
D02,Control,Saccharofermentans,Abundance,6,0.013,0.014
D02,High,Saccharofermentans,Abundance,6,0.005,0.005
D02,Low,Saccharofermentans,Abundance,6,0.003,0.003
D02,Medium,Saccharofermentans,Abundance,6,0.002,0.003
D05,Control,Saccharofermentans,Abundance,6,0.01,0.012
D05,High,Saccharofermentans,Abundance,6,0.028,0.043
D05,Low,Saccharofermentans,Abundance,6,0.005,0.004
D05,Medium,Saccharofermentans,Abundance,6,0.003,0.005
D09,Control,Saccharofermentans,Abundance,6,0.02,0.048
D09,High,Saccharofermentans,Abundance,6,0.001,0.002
D09,Low,Saccharofermentans,Abundance,6,0.003,0.002
D09,Medium,Saccharofermentans,Abundance,6,0.008,0.014
D02,Control,Salmonella,Abundance,6,0,0
D02,High,Salmonella,Abundance,6,0,0
D02,Low,Salmonella,Abundance,6,0,0.001
D02,Medium,Salmonella,Abundance,6,0.001,0.001
D05,Control,Salmonella,Abundance,6,0.001,0.002
D05,High,Salmonella,Abundance,6,0,0
D05,Low,Salmonella,Abundance,6,0.001,0.001
D05,Medium,Salmonella,Abundance,6,0,0
D09,Control,Salmonella,Abundance,6,0,0
D09,High,Salmonella,Abundance,6,0,0
D09,Low,Salmonella,Abundance,6,0,0
D09,Medium,Salmonella,Abundance,6,0,0.001
D02,Control,Sediminibacterium,Abundance,6,0.001,0.001
D02,High,Sediminibacterium,Abundance,6,0,0.001
D02,Low,Sediminibacterium,Abundance,6,0,0
D02,Medium,Sediminibacterium,Abundance,6,0,0.001
D05,Control,Sediminibacterium,Abundance,6,0.001,0.001
D05,High,Sediminibacterium,Abundance,6,0,0.001
D05,Low,Sediminibacterium,Abundance,6,0,0
D05,Medium,Sediminibacterium,Abundance,6,0,0.001
D09,Control,Sediminibacterium,Abundance,6,0,0
D09,High,Sediminibacterium,Abundance,6,0.001,0.002
D09,Low,Sediminibacterium,Abundance,6,0,0
D09,Medium,Sediminibacterium,Abundance,6,0,0
D02,Control,Slackia,Abundance,6,0.007,0.007
D02,High,Slackia,Abundance,6,0.028,0.043
D02,Low,Slackia,Abundance,6,0.027,0.032
D02,Medium,Slackia,Abundance,6,0.027,0.045
D05,Control,Slackia,Abundance,6,0.011,0.008
D05,High,Slackia,Abundance,6,0.012,0.011
D05,Low,Slackia,Abundance,6,0.027,0.032
D05,Medium,Slackia,Abundance,6,0.01,0.015
D09,Control,Slackia,Abundance,6,0.067,0.09
D09,High,Slackia,Abundance,6,0.044,0.059
D09,Low,Slackia,Abundance,6,0.035,0.03
D09,Medium,Slackia,Abundance,6,0.031,0.042
D02,Control,Staphylococcus,Abundance,6,0.001,0.001
D02,High,Staphylococcus,Abundance,6,0.001,0.002
D02,Low,Staphylococcus,Abundance,6,0.002,0.003
D02,Medium,Staphylococcus,Abundance,6,0.007,0.016
D05,Control,Staphylococcus,Abundance,6,0.001,0.002
D05,High,Staphylococcus,Abundance,6,0.001,0.001
D05,Low,Staphylococcus,Abundance,6,0.002,0.002
D05,Medium,Staphylococcus,Abundance,6,0.002,0.003
D09,Control,Staphylococcus,Abundance,6,0,0.001
D09,High,Staphylococcus,Abundance,6,0,0
D09,Low,Staphylococcus,Abundance,6,0.001,0.002
D09,Medium,Staphylococcus,Abundance,6,0,0
D02,Control,Streptococcus,Abundance,6,0.011,0.01
D02,High,Streptococcus,Abundance,6,0.006,0.005
D02,Low,Streptococcus,Abundance,6,0.021,0.036
D02,Medium,Streptococcus,Abundance,6,0.03,0.045
D05,Control,Streptococcus,Abundance,6,0.009,0.013
D05,High,Streptococcus,Abundance,6,0.003,0.003
D05,Low,Streptococcus,Abundance,6,0.009,0.007
D05,Medium,Streptococcus,Abundance,6,0.01,0.006
D09,Control,Streptococcus,Abundance,6,0.03,0.043
D09,High,Streptococcus,Abundance,6,0.008,0.009
D09,Low,Streptococcus,Abundance,6,0.045,0.054
D09,Medium,Streptococcus,Abundance,6,0.016,0.01
D02,Control,Turicibacter,Abundance,6,0,0
D02,High,Turicibacter,Abundance,6,0.002,0.003
D02,Low,Turicibacter,Abundance,6,0,0.001
D02,Medium,Turicibacter,Abundance,6,0,0
D05,Control,Turicibacter,Abundance,6,0,0.001
D05,High,Turicibacter,Abundance,6,0,0
D05,Low,Turicibacter,Abundance,6,0,0
D05,Medium,Turicibacter,Abundance,6,0,0
D09,Control,Turicibacter,Abundance,6,0,0
D09,High,Turicibacter,Abundance,6,0.014,0.022
D09,Low,Turicibacter,Abundance,6,0.003,0.005
D09,Medium,Turicibacter,Abundance,6,0.156,0.38
D02,Control,Turicimonas,Abundance,6,0.012,0.006
D02,High,Turicimonas,Abundance,6,0.048,0.067
D02,Low,Turicimonas,Abundance,6,0.024,0.025
D02,Medium,Turicimonas,Abundance,6,0.008,0.006
D05,Control,Turicimonas,Abundance,6,0.014,0.014
D05,High,Turicimonas,Abundance,6,0.074,0.057
D05,Low,Turicimonas,Abundance,6,0.026,0.022
D05,Medium,Turicimonas,Abundance,6,0.022,0.019
D09,Control,Turicimonas,Abundance,6,0.025,0.043
D09,High,Turicimonas,Abundance,6,0.102,0.105
D09,Low,Turicimonas,Abundance,6,0.081,0.029
D09,Medium,Turicimonas,Abundance,6,0.083,0.084
