Kingdom,Phylum,Class,Order,Family,Genus,Species,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0.0761704779848582,ASV_0178,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0.0734604598418798,ASV_0179,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00139709683278148,0.0665743541934213,ASV_0180,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.06948672246731,ASV_0181,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0686716341429124,ASV_0182,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,Genus_Pseudoflavonifractor,0,0.0681956248622501,ASV_0183,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0606754562868994,ASV_0185,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae_1,Peptococcus,Genus_Peptococcus,0,0.0645445654848376,ASV_0186,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0.0606736998710286,ASV_0187,FALSE,FALSE
Bacteria,Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,0,0.0733773014026716,ASV_0188,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Genus_Holdemania,0,0.063842596794497,ASV_0189,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0636203543349815,ASV_0190,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Genus_Marvinbryantia,0,0.0607962363445777,ASV_0191,FALSE,FALSE
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Mailhella,Genus_Mailhella,0.00139709683278148,0.061719636103701,ASV_0192,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0579602398767677,ASV_0193,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Genus_Bacteroides,0,0.0579146932502303,ASV_0194,FALSE,FALSE
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enteroscipio,Genus_Enteroscipio,0,0.0560507329548707,ASV_0195,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Genus_Paramuribaculum,0,0.0533946721622516,ASV_0196,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Genus_Agathobaculum,0,0.0514047065869099,ASV_0197,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0.0555967870038677,ASV_0198,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Genus_Intestinimonas,0.00139709683278148,0.051207348863309,ASV_0200,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Family_Muribaculaceae,Family_Muribaculaceae,0,0.0485154989279788,ASV_0201,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0506831294229886,ASV_0202,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Colidextribacter,Genus_Colidextribacter,0,0.0473835839655873,ASV_0203,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Family_Muribaculaceae,Family_Muribaculaceae,0,0.0455097066152578,ASV_0204,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Genus_Intestinimonas,0,0.0465134542954949,ASV_0205,FALSE,FALSE
Bacteria,Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,0,0.0435410900425783,ASV_0206,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0440983738114434,ASV_0207,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Genus_Paramuribaculum,0,0.0430694338259192,ASV_0208,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0419716036233374,ASV_0209,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0.0403993102694058,ASV_0210,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0.0397628636675743,ASV_0211,FALSE,FALSE
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Family_Eggerthellaceae,Family_Eggerthellaceae,0,0.0433267276283085,ASV_0212,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0.039289630568916,ASV_0214,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Lawsonibacter,Genus_Lawsonibacter,0,0.044069864152348,ASV_0215,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,aureus,2.23116364195202,3.62235692871612e-05,ASV_0216,FALSE,FALSE
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Family_Eggerthellaceae,Family_Eggerthellaceae,0,0.0456307732011932,ASV_0218,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter,Genus_Dysosmobacter,0,0.0363548296888969,ASV_0220,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Family_Bacillaceae_1,Family_Bacillaceae_1,2.05792363468712,1.45326869194192e-05,ASV_0221,FALSE,FALSE
