ID,Day ,Date ,Animal ,Group ,BW ,FoodIntake,WaterIntake,Bacload,TT ,TT_FoldChange,TT_Increase,ox_iaa_cecum,Acetic_acid_cecum,Propanoic_acid_cecum,Butanoic_acid_cecum,Isobutyric_acid_cecum,Isovaleric_acid_cecum,Valeric_acid_cecum,Caproic_acid_cecum,Isocaproic_acid_cecum,Acetic_acid_feces,Propanoic_acid_feces,Butanoic_acid_feces,Isobutyric_acid_feces,Isovaleric_acid_feces,All_SCFAs_feces,Acetic_acid_change,Propanoic_acid_change,Butanoic_acid_change,Isobutyric_acid_change,Isovaleric_acid_change
M04_D04,D04,26_01_23,M04,Control ,22.1,4,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M05_D04,D04,26_01_23,M05,Control ,18.9,2,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M06_D04,D04,26_01_23,M06,Control ,21.8,4,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M07_D04,D04,26_01_23,M07,Low,21.9,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M08_D04,D04,26_01_23,M08,Low,20.2,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M09_D04,D04,26_01_23,M09,Low,18.4,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M10_D04,D04,26_01_23,M10,Low,19.6,3,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M11_D04,D04,26_01_23,M11,Low,19.1,4,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M12_D04,D04,26_01_23,M12,Low,20.9,3,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M13_D04,D04,26_01_23,M13,Medium,19.9,3,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M14_D04,D04,26_01_23,M14,Medium,21.8,3,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M15_D04,D04,26_01_23,M15,Medium,20,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M16_D04,D04,26_01_23,M16,Medium,19.7,2,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M17_D04,D04,26_01_23,M17,Medium,22.1,3,8,,NA,,,,,,,,,,,,,,,,,,,,,,
M18_D04,D04,26_01_23,M18,Medium,20.3,3,3,,NA,,,,,,,,,,,,,,,,,,,,,,
M19_D04,D04,26_01_23,M19,High ,20.5,3,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M20_D04,D04,26_01_23,M20,High ,19.3,2,4,,NA,,,,,,,,,,,,,,,,,,,,,,
M21_D04,D04,26_01_23,M21,High ,20.8,4,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M22_D04,D04,26_01_23,M22,High ,21.4,3,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M23_D04,D04,26_01_23,M23,High ,18.8,1,3,,NA,,,,,,,,,,,,,,,,,,,,,,
M24_D04,D04,26_01_23,M24,High ,21,3,2,,NA,,,,,,,,,,,,,,,,,,,,,,
M01_D05,D05,27_01_23,M01,Control ,21.2,4,4,10.3244891,423,1.995283019,211,,,,,,,,,,,,,,,,,,,,
M02_D05,D05,27_01_23,M02,Control ,20.5,2,4,10.00998212,190,0.775510204,-55,,,,,,,,,,,,,,,,,,,,
M03_D05,D05,27_01_23,M03,Control ,18.8,4,4,9.954423959,246,0.62915601,-145,,,,,,,,,,,,,,,,,,,,
M04_D05,D05,27_01_23,M04,Control ,22.6,3,4,9.82995984,250,0.883392226,-33,,,,,,,,,,,,,,,,,,,,
M05_D05,D05,27_01_23,M05,Control ,18.4,5,4,9.716521213,334,1.739583333,142,,,,,,,,,,,,,,,,,,,,
M06_D05,D05,27_01_23,M06,Control ,21.4,5,4,9.762185626,353,1.072948328,24,,,,,,,,,,,,,,,,,,,,
M07_D05,D05,27_01_23,M07,Low,22.2,3,3,9.37690825,353,2.576642336,216,,,,,,,,,,,,,,,,,,,,
M08_D05,D05,27_01_23,M08,Low,20.5,3,4,10.10475967,357,1.155339806,48,,,,,,,,,,,,,,,,,,,,
M09_D05,D05,27_01_23,M09,Low,18.5,3,3,10.17315278,396,1.816513761,178,,,,,,,,,,,,,,,,,,,,
M10_D05,D05,27_01_23,M10,Low,20.1,2,3,10.05388197,397,1.56916996,144,,,,,,,,,,,,,,,,,,,,
M11_D05,D05,27_01_23,M11,Low,18.6,2,3,10.08373517,675,2.766393443,431,,,,,,,,,,,,,,,,,,,,
M12_D05,D05,27_01_23,M12,Low,20.6,2,4,9.998738313,509,1.685430464,207,,,,,,,,,,,,,,,,,,,,
M13_D05,D05,27_01_23,M13,Medium,20.2,2,3,9.709370482,673,2.483394834,402,,,,,,,,,,,,,,,,,,,,
M14_D05,D05,27_01_23,M14,Medium,21.4,2,3,9.923344061,507,1.877777778,237,,,,,,,,,,,,,,,,,,,,
M15_D05,D05,27_01_23,M15,Medium,20.2,3,4,9.655716956,631,3.07804878,426,,,,,,,,,,,,,,,,,,,,
M16_D05,D05,27_01_23,M16,Medium,19.7,1,3,9.465948404,410,1.111111111,41,,,,,,,,,,,,,,,,,,,,
M17_D05,D05,27_01_23,M17,Medium,22.1,3,4,10.19307094,654,3.174757282,448,,,,,,,,,,,,,,,,,,,,
M18_D05,D05,27_01_23,M18,Medium,20.2,2,3,9.741952051,599,3.767295597,440,,,,,,,,,,,,,,,,,,,,
M19_D05,D05,27_01_23,M19,High ,20.7,3,3,10.10630351,627,2.601659751,386,,,,,,,,,,,,,,,,,,,,
M20_D05,D05,27_01_23,M20,High ,19.1,2,3,9.975261996,667,2.003003003,334,,,,,,,,,,,,,,,,,,,,
M21_D05,D05,27_01_23,M21,High ,20.2,2,3,9.981008616,666,2.763485477,425,,,,,,,,,,,,,,,,,,,,
M22_D05,D05,27_01_23,M22,High ,21,2,3,9.434977987,665,3.392857143,469,,,,,,,,,,,,,,,,,,,,
M23_D05,D05,27_01_23,M23,High ,18.9,3,3,9.840113537,599,2.210332103,328,,,,,,,,,,,,,,,,,,,,
M24_D05,D05,27_01_23,M24,High ,20.6,3,2,9.927775155,663,2.87012987,432,,,,,,,,,,,,,,,,,,,,
M01_D06,D06,28_01_23,M01,Control ,20.4,3,9,,NA,,,,,,,,,,,,,,,,,,,,,,
M02_D06,D06,28_01_23,M02,Control ,21.2,4,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M03_D06,D06,28_01_23,M03,Control ,18.6,4,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M04_D06,D06,28_01_23,M04,Control ,23.4,5,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M05_D06,D06,28_01_23,M05,Control ,18.7,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M06_D06,D06,28_01_23,M06,Control ,21.7,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M07_D06,D06,28_01_23,M07,Low,22.3,5,6,,NA,,,,,,,,,,,,,,,,,,,,,,
