ID,Animal ,Day ,Group ,Treatment ,TT_D02,TT_D05,TT_D08,TT_D10,TT_AV,TT,TT_D05_log,TT_D08_log,TT_D10_log,TT_AV_log,bac_load,bac_load_log,Erysipelotrichaceae,Bacteroidaceae,Porphyromonadaceae,Akkermansiaceae,Sutterellaceae,Rikenellaceae,Prevotellaceae,Eggerthellaceae,Deferribacteraceae,Clostridiaceae_1,Phocaeicola,Bacteroides,Longibaculum,Amedibacillus,Holdemania
M17_D05,M17,D05,Medium,Treatment ,NA,654,NA,NA,NA,654,2.815577748,NA,NA,NA,15635339887,10.19307094,8.860851547,9.372734908,8.462911538,5.244912552,5.244912552,10.29301882,8.838575152,10.29701419,8.404919591,5.244912552,8.763941532,9.25001763,5.244912552,8.337972792,8.60121424
M18_D05,M18,D05,Medium,Treatment ,NA,599,NA,NA,NA,599,2.777426822,NA,NA,NA,5358184463,9.741952051,8.432691014,9.775677347,8.092742952,4.567601739,7.930015654,9.848617808,8.945527821,9.48301552,7.587592974,9.052975825,9.53009708,9.411067203,4.567601739,4.567601739,8.189652969
M19_D05,M19,D05,High,Treatment ,NA,627,NA,NA,NA,627,2.797267541,NA,NA,NA,12420281188,10.10630351,9.642227656,10.67777511,9.40300481,7.411778735,9.263037083,10.82841924,10.63110124,9.769713582,8.013838726,8.55790677,10.50449938,10.19496743,8.968081237,9.182630747,8.8431425
M20_D05,M20,D05,High,Treatment ,NA,667,NA,NA,NA,667,2.824125834,NA,NA,NA,9203500899,9.975261996,8.7355527,10.20195009,8.986091704,7.423798839,7.599890098,9.747050939,9.467161117,9.399230648,9.240040139,4.80551216,9.998408781,9.775015185,8.50298009,8.326888818,4.80551216
M21_D05,M21,D05,High,Treatment ,NA,666,NA,NA,NA,666,2.823474229,NA,NA,NA,9535936694,9.981008616,8.921345275,10.7620553,9.885307904,7.489981511,8.879147595,10.56223141,10.16161711,9.39846653,4.879931352,4.879931352,10.57527209,10.30555926,8.467705113,4.879931352,8.419400444
M22_D05,M22,D05,High,Treatment ,NA,665,NA,NA,NA,665,2.822821645,NA,NA,NA,2723287377,9.434977987,8.960987827,9.967148135,8.728011104,8.244208264,8.519224827,9.848534801,9.955721222,8.972467644,7.2127998,4.301197058,9.646569634,9.684824497,7.309709791,7.087861041,8.142218729
M23_D05,M23,D05,High,Treatment ,NA,599,NA,NA,NA,599,2.777426822,NA,NA,NA,6733497588,9.840113537,9.504012422,10.15082873,8.896200102,8.419078847,8.737142182,10.02459937,9.80001331,9.941262165,7.498260093,4.692802727,9.963642945,9.695080837,9.349518442,8.197230099,8.363561519
M24_D05,M24,D05,High,Treatment ,NA,663,NA,NA,NA,663,2.821513528,NA,NA,NA,8263578174,9.927775155,9.088850946,9.783400612,8.638381886,8.771007452,7.969375105,10.31080963,10.60969088,9.20406108,8.51344315,7.492253851,9.060455576,9.692283117,8.09431383,8.145466356,8.804007712
M01_D09,M01,D09,Control ,Control ,NA,NA,333,384,358.5,358.5,NA,2.522444234,2.584331224,2.55448916,8722416219,9.944362482,9.001336765,9.584452561,8.291642896,5.074467659,8.467734155,10.68301913,9.471338279,9.631590957,5.074467659,5.074467659,8.467734158,9.549920911,8.619001826,5.074467659,8.388552904
M02_D09,M02,D09,Control ,Control ,NA,NA,334,184,259,259,NA,2.523746467,2.264817823,2.413299764,9550795166,9.983493312,9.543329081,9.797153333,9.272153857,7.417847815,9.019907807,9.838628435,9.82523872,10.10044411,4.794401066,10.89388197,9.085300768,9.703405125,8.760270494,9.166035843,8.548181588
